"","X","id","volume","initial_mass","concentration","duration","pH","temperature","pH_final","yield_total","conc_filtrate","yield_filtrate","Abs_max","wavelength_max"
"1",1,"0211-1",5,4.727,1,1,-1,1,2.94,31.5,7.82,33.1,0.291628205128205,281.825
"2",2,"0211-2",5,4.779,1,-1,1,1,3.04,48.8,12.5,52.3,0.755444444444444,282.5
"3",3,"0211-3",10,9.758,1,1,0,1,2.74,45.6,20.7,42.4,0.941700854700855,282.75
"4",4,"0211-4",10,9.734,1,-1,-1,1,2.76,63.7,37.3,76.6,1.07588461538462,282.5
"5",5,"0211-5",10,10.114,1,1,-1,1,2.57,23.1,15,29.7,0.413931623931624,282.06
"6",6,"0211-6",10,9.582,1,1,0,1,2.8,39.6,19.1,39.9,0.936405982905983,282.5
"7",7,"0211-7",10,9.833,1,-1,1,1,2.86,50.4,26.9,54.7,1.62853846153846,283
"8",8,"0211-8",10,9.828,1,-1,0,1,2.95,69.5,37.4,76.1,1.53612820512821,283
"9",9,"0211-9",10,10.187,1,1,1,1,2.71,25.4,13.2,25.9,0.528974358974359,282.066666666667
"10",10,"0311-1",5,4.743,0,0,0,0,3.37,53.4,14.3,80.4,0.650965811965812,283
"11",11,"0311-2",5,4.431,0,0,0,0,3.35,49,13.1,78.8,0.523978632478633,282.5
"12",12,"0311-3",10,9.737,0,0,0,0,3.11,50.1,29.2,80,1.03275,282.3
"13",13,"0311-4",10,9.61,0,0,0,0,3.12,49,29.4,81.6,1.1891452991453,283
"14",15,"0311-6",10,10.134,0,0,0,0,3.08,60.1,31.2,82.1,1.53507905982906,282.5
"15",16,"0311-7",10,9.856,0,0,0,0,3.06,59.3,28.7,77.7,1.26860897435897,282.75
"16",17,"0311-8",10,9.633,0,0,0,0,3.09,60.8,28.9,80,1.16104700854701,283
"17",18,"0311-9",10,10.136,0,0,0,0,3.04,58.9,29,76.3,1.2760811965812,283
"18",19,"1310-1",5,5.28,1,1,0,-1,3.33,85.8,22.2,84.1,0.694935897435897,283
"19",20,"1310-2",5,5.105,1,1,-1,-1,3.18,86,21.7,85,0.494064102564103,282.75
"20",21,"1310-3",10,11.344,1,1,0,-1,3,88.7,47.9,84.4,1.29568803418803,283
"21",22,"1310-4",10,11.089,1,1,0,-1,3,86.8,46.1,83.1,1.41161965811966,283.4
"22",23,"1310-5",10,10.624,1,1,-1,-1,2.96,89.6,45.8,86.2,1.10851282051282,282.75
"23",24,"1310-6",10,10.887,1,1,-1,-1,3,91.4,46.9,86.2,1.21904700854701,282.5
"24",25,"1310-7",10,11.204,1,1,1,-1,2.88,81.3,31,55.3,1.42532905982906,281.6
"25",26,"1310-8",10,10.999,1,1,1,-1,2.87,82,31,56.4,1.65917948717949,281.6
"26",27,"1310-9",10,11.274,1,1,1,-1,2.87,88.1,32.7,58,1.47038461538462,282.5
"27",28,"1410-1",5,5.236,1,-1,0,-1,3.57,94,24.6,94,0.341316239316239,283.2
"28",29,"1410-2",5,5.091,1,-1,-1,-1,3.46,95.1,24.1,94.7,0.230824786324786,283.216666666667
"29",30,"1410-3",10,11.245,1,-1,0,-1,3.45,93.5,52.9,94.1,0.772940170940171,283.4
"30",31,"1410-4",10,10.888,1,-1,0,-1,3.41,94.4,51.8,95.2,0.805931623931624,283.2
"31",32,"1410-5",10,10.376,1,-1,-1,-1,3.3,94,48.8,94.1,0.493149572649573,283.65
"32",33,"1410-6",10,10.569,1,-1,-1,-1,3.3,93.4,50,94.6,0.516397435897436,283.4
"33",34,"1410-7",10,10.42,1,-1,1,-1,3.21,84.1,39.7,76.2,1.40076923076923,282.3
"34",35,"1410-8",10,10.463,1,-1,1,-1,3.19,83.2,39.5,75.5,1.41227777777778,282.5
"35",36,"1410-9",10,11.997,1,-1,1,-1,3.18,75.5,40.4,67.4,1.53778205128205,282.5
"36",37,"1610-1",5,5.213,1,1,1,1,2.9,80.8,5.23,20.1,0.303461538461538,282.1
"37",38,"1610-2",5,5.18,1,1,1,1,2.86,127,6.8,26.3,0.27324358974359,281.6
"38",39,"1610-3",10,11.378,1,-1,0,1,2.9,81.5,42.5,74.7,1.57526495726496,283.4
"39",40,"1610-4",10,11.498,1,1,-1,1,2.58,56.8,17,29.6,0.519641025641026,281.6
"40",41,"1610-5",10,10.847,1,-1,0,1,2.89,82.3,40.9,75.4,1.56659401709402,282.5
"41",42,"1610-6",10,10.777,1,-1,1,1,2.89,102.6,27.9,51.8,1.77776923076923,283
"42",43,"1610-7",10,10.675,1,-1,-1,1,2.82,78.8,40.7,76.3,1.41148717948718,282.5
"43",44,"1610-8",10,10.084,1,1,0,1,2.68,71.5,20.3,40.3,0.825995726495727,282.3
"44",45,"1610-9",10,10.871,1,-1,-1,1,2.77,78.6,39.5,72.7,1.42019230769231,282.5
"45",46,"2810-1",5,5.171,-1,1,1,-1,3.32,61.5,8,61.9,0.47957264957265,282.533333333333
"46",47,"2810-2",5,5.011,-1,1,-1,-1,3.26,72.6,10.5,83.8,0.268538461538462,284.125
"47",48,"2810-3",10,11.133,-1,1,0,-1,3.23,56.6,22.9,82.3,1.05031623931624,282.95
"48",49,"2810-4",10,10.406,-1,1,1,-1,3.2,57.7,18.7,71.9,1.03922008547009,283
"49",50,"2810-5",10,10.401,-1,1,1,-1,3.17,44.2,17.3,66.5,0.899752136752137,283.4
"50",51,"2810-6",10,10.526,-1,1,0,-1,3.29,54.2,21.6,82.1,0.688910256410256,282.966666666667
"51",52,"2810-7",10,10.135,-1,1,-1,-1,2.97,56.8,20.9,82.5,0.562047008547009,282.533333333333
"52",53,"2810-8",10,10.354,-1,1,-1,-1,3,64.9,22,85,0.458952991452991,282.533333333333
"53",54,"2810-9",10,10.845,-1,1,0,-1,3.15,58.1,22.6,83.4,0.607217948717949,282.75
"54",55,"3010-1",5,5.086,-1,-1,-1,-1,3.43,93.6,12,94.4,0.126200854700855,281.825
"55",56,"3010-2",5,5.085,-1,-1,0,-1,3.73,90.4,11.3,88.9,0.167948717948718,282.75
"56",57,"3010-3",10,11.035,-1,-1,-1,-1,3.19,90.4,24.8,89.9,0.263277777777778,283.4
"57",58,"3010-4",10,10.37,-1,-1,-1,-1,3.21,93.3,23.2,89.5,0.239384615384615,282.3
"58",59,"3010-5",10,10.242,-1,-1,1,-1,3.46,83.6,21.2,82.8,0.423423076923077,282.1
"59",60,"3010-6",10,10.115,-1,-1,0,-1,3.51,93.7,23.8,94.1,0.239222222222222,282.98
"60",61,"3010-7",10,10.191,-1,-1,0,-1,3.49,94.4,23.6,92.6,0.340824786324786,282.5
"61",62,"3010-8",10,10.344,-1,-1,1,-1,3.44,82.6,20.5,79.3,0.605162393162393,282.4
"62",63,"3010-9",10,10.642,-1,-1,1,-1,3.42,83.3,21,78.9,0.665064102564103,282.75
"63",64,"3110-1",5,5.073,-1,-1,0,1,3.33,80,9.2,72.5,0.490790598290598,282.75
"64",65,"3110-10",5,4.762,-1,1,1,1,3.11,38.6,3.4,28.6,0.337260683760684,282.52
"65",66,"3110-11",5,4.344,-1,1,0,1,3.12,16.6,5.1,47,0.395581196581197,282.5
"66",67,"3110-12",10,9.579,-1,1,-1,1,2.81,58.3,11.4,47.6,0.52101282051282,282.5
"67",68,"3110-13",10,9.156,-1,1,0,1,2.9,60.3,10.8,47.2,0.76358547008547,283
"68",69,"3110-14",10,9.268,-1,1,-1,1,2.81,52.7,10.9,47,0.454619658119658,282.3
"69",70,"3110-15",10,9.678,-1,1,0,1,2.92,64.1,11.5,47.5,0.835752136752137,282.1
"70",71,"3110-16",10,9.181,-1,1,1,1,2.93,44.9,7.7,33.5,0.64908547008547,282.75
"71",72,"3110-17",10,9.596,-1,1,1,1,2.91,52.5,7.5,31.3,0.516786324786325,282.1
"72",73,"3110-18",10,8.597,-1,1,-1,1,2.82,58.6,10.5,48.9,0.506235042735043,281.9
"73",74,"3110-2",5,4.879,-1,-1,-1,1,3.16,78.3,9.3,76.2,0.322850427350427,282.3
"74",75,"3110-3",10,10.663,-1,-1,1,1,3.06,67.1,15.9,59.6,0.684247863247863,282.3
"75",76,"3110-4",10,10.031,-1,-1,0,1,3.12,83.1,19.9,79.4,0.809264957264957,283
"76",77,"3110-5",10,9.746,-1,-1,1,1,3.12,68.7,15,61.6,0.85001282051282,282.75
"77",78,"3110-6",10,9.774,-1,-1,-1,1,3.04,82.9,19.6,80.2,0.656517094017094,282.75
"78",79,"3110-7",10,9.833,-1,-1,1,1,3.1,65.9,14.8,60.2,1.03013675213675,282.966666666667
"79",80,"3110-8",10,9.953,-1,-1,-1,1,2.93,78,18.9,76,0.692440170940171,283
"80",81,"3110-9",10,10.18,-1,-1,0,1,3.09,80.4,18.7,73.5,0.972273504273504,282.75
